Country;Subject Descriptor;Units;Scale;2015;Estimates Start After
Afghanistan;Gross domestic product per capita, current prices;U.S. dollars;Units;599994;2013
Albania;Gross domestic product per capita, current prices;U.S. dollars;Units;3995383;2010
Algeria;Gross domestic product per capita, current prices;U.S. dollars;Units;4318135;2014
Angola;Gross domestic product per capita, current prices;U.S. dollars;Units;4100315;2014
Antigua and Barbuda;Gross domestic product per capita, current prices;U.S. dollars;Units;14414302;2011
Argentina;Gross domestic product per capita, current prices;U.S. dollars;Units;13588846;2013
Armenia;Gross domestic product per capita, current prices;U.S. dollars;Units;3534860;2014
Australia;Gross domestic product per capita, current prices;U.S. dollars;Units;50961865;2014
Austria;Gross domestic product per capita, current prices;U.S. dollars;Units;43724031;2015
Azerbaijan;Gross domestic product per capita, current prices;U.S. dollars;Units;5739433;2014
The Bahamas;Gross domestic product per capita, current prices;U.S. dollars;Units;23902805;2013
Bahrain;Gross domestic product per capita, current prices;U.S. dollars;Units;23509981;2014
Bangladesh;Gross domestic product per capita, current prices;U.S. dollars;Units;1286868;2013
Barbados;Gross domestic product per capita, current prices;U.S. dollars;Units;15773555;2010
Belarus;Gross domestic product per capita, current prices;U.S. dollars;Units;5749119;2013
Belgium;Gross domestic product per capita, current prices;U.S. dollars;Units;40106632;2014
Belize;Gross domestic product per capita, current prices;U.S. dollars;Units;4841735;2013
Benin;Gross domestic product per capita, current prices;U.S. dollars;Units;780063;2011
Bhutan;Gross domestic product per capita, current prices;U.S. dollars;Units;2843402;2011
Bolivia;Gross domestic product per capita, current prices;U.S. dollars;Units;2886231;2012
Bosnia and Herzegovina;Gross domestic product per capita, current prices;U.S. dollars;Units;4088212;2014
Botswana;Gross domestic product per capita, current prices;U.S. dollars;Units;6040957;2008
Brazil;Gross domestic product per capita, current prices;U.S. dollars;Units;8669998;2014
Brunei Darussalam;Gross domestic product per capita, current prices;U.S. dollars;Units;28236640;2013
Bulgaria;Gross domestic product per capita, current prices;U.S. dollars;Units;6831661;2014
Burkina Faso;Gross domestic product per capita, current prices;U.S. dollars;Units;614500;2012
Burundi;Gross domestic product per capita, current prices;U.S. dollars;Units;305783;0
Cabo Verde;Gross domestic product per capita, current prices;U.S. dollars;Units;3038511;2014
Cambodia;Gross domestic product per capita, current prices;U.S. dollars;Units;1168036;2012
Cameroon;Gross domestic product per capita, current prices;U.S. dollars;Units;1232423;2010
Canada;Gross domestic product per capita, current prices;U.S. dollars;Units;43331961;2015
Central African Republic;Gross domestic product per capita, current prices;U.S. dollars;Units;334870;2004
Chad;Gross domestic product per capita, current prices;U.S. dollars;Units;941903;2004
Chile;Gross domestic product per capita, current prices;U.S. dollars;Units;13340905;2014
China;Gross domestic product per capita, current prices;U.S. dollars;Units;7989720;2015
Colombia;Gross domestic product per capita, current prices;U.S. dollars;Units;6083510;2014
Comoros;Gross domestic product per capita, current prices;U.S. dollars;Units;736348;2003
Democratic Republic of the Congo;Gross domestic product per capita, current prices;U.S. dollars;Units;475916;1983
Republic of Congo;Gross domestic product per capita, current prices;U.S. dollars;Units;2032267;2004
Costa Rica;Gross domestic product per capita, current prices;U.S. dollars;Units;10936243;2011
Côte d'Ivoire;Gross domestic product per capita, current prices;U.S. dollars;Units;1314678;2012
Croatia;Gross domestic product per capita, current prices;U.S. dollars;Units;11572905;2013
Cyprus;Gross domestic product per capita, current prices;U.S. dollars;Units;22587490;2014
Czech Republic;Gross domestic product per capita, current prices;U.S. dollars;Units;17256918;2015
Denmark;Gross domestic product per capita, current prices;U.S. dollars;Units;52114165;2015
Djibouti;Gross domestic product per capita, current prices;U.S. dollars;Units;1788363;2009
Dominica;Gross domestic product per capita, current prices;U.S. dollars;Units;7030145;2011
Dominican Republic;Gross domestic product per capita, current prices;U.S. dollars;Units;6755736;2014
Ecuador;Gross domestic product per capita, current prices;U.S. dollars;Units;6070951;2014
Egypt;Gross domestic product per capita, current prices;U.S. dollars;Units;3740249;2014
El Salvador;Gross domestic product per capita, current prices;U.S. dollars;Units;4040317;2007
Equatorial Guinea;Gross domestic product per capita, current prices;U.S. dollars;Units;11762386;2010
Eritrea;Gross domestic product per capita, current prices;U.S. dollars;Units;694753;2006
Estonia;Gross domestic product per capita, current prices;U.S. dollars;Units;17288083;2014
Ethiopia;Gross domestic product per capita, current prices;U.S. dollars;Units;686593;2008
Fiji;Gross domestic product per capita, current prices;U.S. dollars;Units;5373633;2013
Finland;Gross domestic product per capita, current prices;U.S. dollars;Units;41973988;2014
France;Gross domestic product per capita, current prices;U.S. dollars;Units;37675006;2015
Gabon;Gross domestic product per capita, current prices;U.S. dollars;Units;7735939;0
The Gambia;Gross domestic product per capita, current prices;U.S. dollars;Units;450859;2010
Georgia;Gross domestic product per capita, current prices;U.S. dollars;Units;3788624;2013
Germany;Gross domestic product per capita, current prices;U.S. dollars;Units;40996511;2014
Ghana;Gross domestic product per capita, current prices;U.S. dollars;Units;1340416;0
Greece;Gross domestic product per capita, current prices;U.S. dollars;Units;18064288;2014
Grenada;Gross domestic product per capita, current prices;U.S. dollars;Units;8936578;2011
Guatemala;Gross domestic product per capita, current prices;U.S. dollars;Units;3929081;2010
Guinea;Gross domestic product per capita, current prices;U.S. dollars;Units;542417;2009
Guinea-Bissau;Gross domestic product per capita, current prices;U.S. dollars;Units;594940;2004
Guyana;Gross domestic product per capita, current prices;U.S. dollars;Units;4125021;2002
Haiti;Gross domestic product per capita, current prices;U.S. dollars;Units;804564;0
Honduras;Gross domestic product per capita, current prices;U.S. dollars;Units;2406615;2001
Hong Kong SAR;Gross domestic product per capita, current prices;U.S. dollars;Units;42389630;2015
Hungary;Gross domestic product per capita, current prices;U.S. dollars;Units;12239894;2015
Iceland;Gross domestic product per capita, current prices;U.S. dollars;Units;50854583;2014
India;Gross domestic product per capita, current prices;U.S. dollars;Units;1617309;2013
Indonesia;Gross domestic product per capita, current prices;U.S. dollars;Units;3362357;2014
Islamic Republic of Iran;Gross domestic product per capita, current prices;U.S. dollars;Units;4877069;2012
Iraq;Gross domestic product per capita, current prices;U.S. dollars;Units;4819487;2013
Ireland;Gross domestic product per capita, current prices;U.S. dollars;Units;51350744;2014
Israel;Gross domestic product per capita, current prices;U.S. dollars;Units;35343336;2015
Italy;Gross domestic product per capita, current prices;U.S. dollars;Units;29866581;2015
Jamaica;Gross domestic product per capita, current prices;U.S. dollars;Units;4948018;2014
Japan;Gross domestic product per capita, current prices;U.S. dollars;Units;32485545;2015
Jordan;Gross domestic product per capita, current prices;U.S. dollars;Units;5513009;2014
Kazakhstan;Gross domestic product per capita, current prices;U.S. dollars;Units;9795629;2014
Kenya;Gross domestic product per capita, current prices;U.S. dollars;Units;1388450;2013
Kiribati;Gross domestic product per capita, current prices;U.S. dollars;Units;1427619;2013
Korea;Gross domestic product per capita, current prices;U.S. dollars;Units;27195197;2014
Kosovo;Gross domestic product per capita, current prices;U.S. dollars;Units;;
Kuwait;Gross domestic product per capita, current prices;U.S. dollars;Units;29363027;2014
Kyrgyz Republic;Gross domestic product per capita, current prices;U.S. dollars;Units;1112810;2012
Lao P.D.R.;Gross domestic product per capita, current prices;U.S. dollars;Units;1778713;2012
Latvia;Gross domestic product per capita, current prices;U.S. dollars;Units;13618569;2015
Lebanon;Gross domestic product per capita, current prices;U.S. dollars;Units;11236793;2012
Lesotho;Gross domestic product per capita, current prices;U.S. dollars;Units;1051606;2006
Liberia;Gross domestic product per capita, current prices;U.S. dollars;Units;473636;2009
Libya;Gross domestic product per capita, current prices;U.S. dollars;Units;6058671;2014
Lithuania;Gross domestic product per capita, current prices;U.S. dollars;Units;14210280;2015
Luxembourg;Gross domestic product per capita, current prices;U.S. dollars;Units;101994093;2014
FYR Macedonia;Gross domestic product per capita, current prices;U.S. dollars;Units;4786840;2014
Madagascar;Gross domestic product per capita, current prices;U.S. dollars;Units;401771;2006
Malawi;Gross domestic product per capita, current prices;U.S. dollars;Units;354275;2011
Malaysia;Gross domestic product per capita, current prices;U.S. dollars;Units;9556774;2014
Maldives;Gross domestic product per capita, current prices;U.S. dollars;Units;8999971;2006
Mali;Gross domestic product per capita, current prices;U.S. dollars;Units;801844;2010
Malta;Gross domestic product per capita, current prices;U.S. dollars;Units;22734233;2014
Marshall Islands;Gross domestic product per capita, current prices;U.S. dollars;Units;3355547;2013
Mauritania;Gross domestic product per capita, current prices;U.S. dollars;Units;1282331;2012
Mauritius;Gross domestic product per capita, current prices;U.S. dollars;Units;9218428;2014
Mexico;Gross domestic product per capita, current prices;U.S. dollars;Units;9009280;2015
Micronesia;Gross domestic product per capita, current prices;U.S. dollars;Units;3072685;2013
Moldova;Gross domestic product per capita, current prices;U.S. dollars;Units;1804685;2015
Mongolia;Gross domestic product per capita, current prices;U.S. dollars;Units;3951906;2014
Montenegro;Gross domestic product per capita, current prices;U.S. dollars;Units;6489101;2014
Morocco;Gross domestic product per capita, current prices;U.S. dollars;Units;3078593;2014
Mozambique;Gross domestic product per capita, current prices;U.S. dollars;Units;534879;2013
Myanmar;Gross domestic product per capita, current prices;U.S. dollars;Units;1291963;2007
Namibia;Gross domestic product per capita, current prices;U.S. dollars;Units;5776903;2008
Nepal;Gross domestic product per capita, current prices;U.S. dollars;Units;751120;2012
Netherlands;Gross domestic product per capita, current prices;U.S. dollars;Units;43603115;2014
New Zealand;Gross domestic product per capita, current prices;U.S. dollars;Units;37044891;2015
Nicaragua;Gross domestic product per capita, current prices;U.S. dollars;Units;1949232;2013
Niger;Gross domestic product per capita, current prices;U.S. dollars;Units;405213;2009
Nigeria;Gross domestic product per capita, current prices;U.S. dollars;Units;2742861;2012
Norway;Gross domestic product per capita, current prices;U.S. dollars;Units;74822106;2015
Oman;Gross domestic product per capita, current prices;U.S. dollars;Units;15232961;2012
Pakistan;Gross domestic product per capita, current prices;U.S. dollars;Units;1449978;2015
Palau;Gross domestic product per capita, current prices;U.S. dollars;Units;16070421;2014
Panama;Gross domestic product per capita, current prices;U.S. dollars;Units;13012562;2013
Papua New Guinea;Gross domestic product per capita, current prices;U.S. dollars;Units;2084713;2012
Paraguay;Gross domestic product per capita, current prices;U.S. dollars;Units;4009567;2014
Peru;Gross domestic product per capita, current prices;U.S. dollars;Units;6021104;2015
Philippines;Gross domestic product per capita, current prices;U.S. dollars;Units;2858144;2015
Poland;Gross domestic product per capita, current prices;U.S. dollars;Units;12495334;2014
Portugal;Gross domestic product per capita, current prices;U.S. dollars;Units;19121592;2014
Qatar;Gross domestic product per capita, current prices;U.S. dollars;Units;76576080;2014
Romania;Gross domestic product per capita, current prices;U.S. dollars;Units;8906296;2015
Russia;Gross domestic product per capita, current prices;U.S. dollars;Units;9054914;2015
Rwanda;Gross domestic product per capita, current prices;U.S. dollars;Units;731512;2012
Samoa;Gross domestic product per capita, current prices;U.S. dollars;Units;4334217;2011
San Marino;Gross domestic product per capita, current prices;U.S. dollars;Units;49846896;2014
São Tomé and Príncipe;Gross domestic product per capita, current prices;U.S. dollars;Units;1568968;2011
Saudi Arabia;Gross domestic product per capita, current prices;U.S. dollars;Units;20812586;2010
Senegal;Gross domestic product per capita, current prices;U.S. dollars;Units;913024;2011
Serbia;Gross domestic product per capita, current prices;U.S. dollars;Units;5119757;2014
Seychelles;Gross domestic product per capita, current prices;U.S. dollars;Units;14940706;2013
Sierra Leone;Gross domestic product per capita, current prices;U.S. dollars;Units;659438;2014
Singapore;Gross domestic product per capita, current prices;U.S. dollars;Units;52887770;2014
Slovak Republic;Gross domestic product per capita, current prices;U.S. dollars;Units;15991736;2015
Slovenia;Gross domestic product per capita, current prices;U.S. dollars;Units;20732482;2015
Solomon Islands;Gross domestic product per capita, current prices;U.S. dollars;Units;1952481;2014
South Africa;Gross domestic product per capita, current prices;U.S. dollars;Units;5694572;2014
South Sudan;Gross domestic product per capita, current prices;U.S. dollars;Units;220860;2008
Spain;Gross domestic product per capita, current prices;U.S. dollars;Units;25864721;2014
Sri Lanka;Gross domestic product per capita, current prices;U.S. dollars;Units;3889411;2012
St. Kitts and Nevis;Gross domestic product per capita, current prices;U.S. dollars;Units;16109707;2003
St. Lucia;Gross domestic product per capita, current prices;U.S. dollars;Units;8191984;2012
St. Vincent and the Grenadines;Gross domestic product per capita, current prices;U.S. dollars;Units;6882286;2014
Sudan;Gross domestic product per capita, current prices;U.S. dollars;Units;2175397;2010
Suriname;Gross domestic product per capita, current prices;U.S. dollars;Units;9305687;2011
Swaziland;Gross domestic product per capita, current prices;U.S. dollars;Units;3139664;2014
Sweden;Gross domestic product per capita, current prices;U.S. dollars;Units;49866266;2014
Switzerland;Gross domestic product per capita, current prices;U.S. dollars;Units;80675308;2015
Syria;Gross domestic product per capita, current prices;U.S. dollars;Units;n/a;2010
Taiwan Province of China;Gross domestic product per capita, current prices;U.S. dollars;Units;22287562;2015
Tajikistan;Gross domestic product per capita, current prices;U.S. dollars;Units;922072;2014
Tanzania;Gross domestic product per capita, current prices;U.S. dollars;Units;941804;2012
Thailand;Gross domestic product per capita, current prices;U.S. dollars;Units;5742282;2014
Timor-Leste;Gross domestic product per capita, current prices;U.S. dollars;Units;2244307;2011
Togo;Gross domestic product per capita, current prices;U.S. dollars;Units;569435;2010
Tonga;Gross domestic product per capita, current prices;U.S. dollars;Units;3972741;2012
Trinidad and Tobago;Gross domestic product per capita, current prices;U.S. dollars;Units;18085759;2012
Tunisia;Gross domestic product per capita, current prices;U.S. dollars;Units;3922653;2010
Turkey;Gross domestic product per capita, current prices;U.S. dollars;Units;9437372;2013
Turkmenistan;Gross domestic product per capita, current prices;U.S. dollars;Units;6622414;2004
Tuvalu;Gross domestic product per capita, current prices;U.S. dollars;Units;3014630;2012
Uganda;Gross domestic product per capita, current prices;U.S. dollars;Units;620213;2014
Ukraine;Gross domestic product per capita, current prices;U.S. dollars;Units;2125426;2015
United Arab Emirates;Gross domestic product per capita, current prices;U.S. dollars;Units;36060015;2010
United Kingdom;Gross domestic product per capita, current prices;U.S. dollars;Units;43770688;2015
United States;Gross domestic product per capita, current prices;U.S. dollars;Units;55805204;2015
Uruguay;Gross domestic product per capita, current prices;U.S. dollars;Units;15748192;2014
Uzbekistan;Gross domestic product per capita, current prices;U.S. dollars;Units;2120778;2013
Vanuatu;Gross domestic product per capita, current prices;U.S. dollars;Units;2847113;2014
Venezuela;Gross domestic product per capita, current prices;U.S. dollars;Units;7744746;2010
Vietnam;Gross domestic product per capita, current prices;U.S. dollars;Units;2088344;2012
Yemen;Gross domestic product per capita, current prices;U.S. dollars;Units;1302940;2008
Zambia;Gross domestic product per capita, current prices;U.S. dollars;Units;1350151;2010
Zimbabwe;Gross domestic product per capita, current prices;U.S. dollars;Units;1064350;2012
;;;;;
International Monetary Fund, World Economic Outlook Database, April 2016;;;;;